"pathway","pval","padj","overlap","size","overlapGenes"
"C3_Signaling: phosphatase: Y ",0.00144943474238009,0.0187520619795424,7,90,"C48B6.4;EGG-5;MOA-1;R10F2.6;Y54F10BM.3;Y62F5A.10;Y80D3A.8"
"C3_Proteolysis general: metallopeptidase",0.0022562318339411,0.027472940566224,8,124,"F39E9.6;NAS-18;NAS-21;NEP-10;NEP-13;NEP-4;R03G8.6;Y53F4B.20"
"C3_Transmembrane protein: seven transmembrane receptor: srb",0.00244598616758006,0.0281288409271707,3,15,"SRB-11;SRB-3;SRB-5"
"C1_Cytoskeleton",0.00951015917846178,0.0434750133872539,14,368,"C31C9.6;CDH-12;INX-16;F10C1.8;RMD-6;B0218.5;F26A1.4;K09C6.8;R13H9.5;TTBK-2;DLC-4;AFD-1;T08D2.8;TTN-1"
"C2_Proteolysis general: metallopeptidase",0.0022562318339411,0.0435130425117212,8,124,"F39E9.6;NAS-18;NAS-21;NEP-10;NEP-13;NEP-4;R03G8.6;Y53F4B.20"
"C3_Transmembrane protein: seven transmembrane receptor: sru",0.00576618687939935,0.0628210886334561,4,39,"SRU-20;SRU-3;SRU-31;SRU-35"
"C3_Development: apoptosis",0.00670407448491701,0.0693871709188911,5,64,"CSP-1;CSP-2;MATH-24;MATH-26;Y53F4B.7"
"C3_Transmembrane protein: seven transmembrane receptor: other",0.00797489188483127,0.0786096485790511,8,153,"B0244.7;C06B3.1;F27E5.8;R10E8.5;SDZ-18;T26H8.5;Y116A8C.40;Y55F3C.10"
"C2_Stress response: pathogen",0.00581764729074657,0.0981727980313483,9,176,"K08D8.5;T05E12.6;T19C9.8;ZK896.1;LYS-5;F11D11.3;HPO-33;Y43C5A.3;SPP-4"
"C2_Development: apoptosis",0.00670407448491701,0.0997859014859967,5,64,"CSP-1;CSP-2;MATH-24;MATH-26;Y53F4B.7"
"C2_Stress response: detoxification",0.00739154825822198,0.0997859014859967,8,151,"CYP-13A11;CYP-13A5;CYP-33C5;CYP-33D3;CYP-33E2;CYP-35A4;F39G3.4;UGT-14"
"C3_Cytoskeleton: microtubule: tau tubulin kinase",0.0121898053421692,0.114694986628592,5,74,"B0218.5;F26A1.4;K09C6.8;R13H9.5;TTBK-2"
"C3_Metabolism: lipid: o-acyl transferase",0.0201390070953304,0.181251063857974,4,56,"OAC-25;OAC-38;OAC-43;OAC-54"
"C3_Metabolism: lipid: phospholipid",0.0226049349601265,0.187168861469848,4,58,"CKB-3;MBOA-6;SCRM-7;Y53G8B.2"
"C3_Metabolism: lipid: sterol",0.0226049349601265,0.187168861469848,4,58,"F02C12.2;STDH-2;W03F9.9;Y7A5A.1"
"C3_Transmembrane protein: seven transmembrane receptor: sra ",0.0267699905416968,0.21313030931274,3,35,"SRA-12;SRA-20;SRA-8"
"C2_Metabolism: lipid",0.0193706594887783,0.237730820998642,17,523,"NPA-1;ACS-15;POD-2;ACL-7;OAC-25;OAC-38;OAC-43;OAC-54;CKB-3;MBOA-6;SCRM-7;Y53G8B.2;ZK856.5;F02C12.2;STDH-2;W03F9.9;Y7A5A.1"
"C3_Extracellular material: chitinase",0.0331343937357726,0.254030351974256,3,38,"CHIL-18;CHIL-21;LMD-5"
"C3_Transcription: chromatin modification: acetyltransferase",0.0346890953969471,0.256451526684573,2,16,"C29F9.5;CBP-2"
"C2_Signaling: phosphatase",0.0305688856816911,0.319510225309236,8,196,"T22D1.5;C48B6.4;EGG-5;MOA-1;R10F2.6;Y54F10BM.3;Y62F5A.10;Y80D3A.8"
"C2_Cytoskeleton: microtubule",0.0324361488344636,0.319510225309236,6,128,"RMD-6;B0218.5;F26A1.4;K09C6.8;R13H9.5;TTBK-2"
"C2_Extracellular material: chitinase",0.0331343937357726,0.319510225309236,3,38,"CHIL-18;CHIL-21;LMD-5"
"C3_Proteolysis general: cysteine: cathepsin",0.0476677898292134,0.331121327327781,2,19,"CTSA-2;Y51A2D.1"
"C3_Transmembrane transport: chloride channel",0.0479885981634465,0.331121327327781,3,44,"BEST-11;BEST-5;H39E23.3"
"C1_Development",0.0958044588495447,0.383217835398179,9,292,"CSP-1;CSP-2;MATH-24;MATH-26;Y53F4B.7;EGO-2;MAC-1;PRO-3;SSL-1"
"C3_Transmembrane transport: major facilitator",0.0624439803210463,0.41348581686067,3,49,"F31D5.1;Y43D4A.4;Y52E8A.6"
"C3_Development: general",0.0639205127514079,0.41348581686067,4,81,"EGO-2;MAC-1;PRO-3;SSL-1"
"C3_Cell cycle: chromosome dynamics: meiotic functions",0.0672090261434716,0.421583891263595,2,23,"F39C12.1;ZIM-2"
"C1_Extracellular material",0.119081409865979,0.423400568412368,13,484,"CHIL-18;CHIL-21;LMD-5;C31B8.9;COL-135;COL-62;F46A8.4;F46A8.5;DGN-3;TSP-13;TSP-5;W04G5.5;SCL-8"
"C2_Transmembrane transport: chloride channel",0.0479885981634465,0.431897383471018,3,44,"BEST-11;BEST-5;H39E23.3"
"C1_Nucleic acid",0.135354441277994,0.433134212089581,7,229,"EGRH-2;F35C5.3;F59B2.14;C10A4.1;LIN-38;PLP-2;Y25C1A.8"
"C3_Extracellular material: PGI",0.0752853602905002,0.458354987650987,3,53,"TSP-13;TSP-5;W04G5.5"
"C3_Extracellular material: galectin",0.0778072437627154,0.460174270253774,2,25,"F46A8.4;F46A8.5"
"C2_Transmembrane transport: major facilitator",0.0624439803210463,0.507604071849416,3,49,"F31D5.1;Y43D4A.4;Y52E8A.6"
"C2_Development: general",0.0639205127514079,0.507604071849416,4,81,"EGO-2;MAC-1;PRO-3;SSL-1"
"C3_Signaling: heteromeric G protein: arrestin",0.0888858973485471,0.511093909754146,2,27,"ARRD-19;ARRD-3"
"C3_Transmembrane protein: seven transmembrane receptor: srt",0.0928176265002956,0.519276991501654,3,58,"SRT-11;SRT-17;SRT-4"
"C3_Transmembrane protein: seven transmembrane receptor: srv",0.100395481815063,0.546891177255737,2,29,"SRV-22;SRV-28"
"C2_Extracellular material: PGI",0.0752853602905002,0.552840942524557,3,53,"TSP-13;TSP-5;W04G5.5"
"C2_Extracellular material: galectin",0.0778072437627154,0.552840942524557,2,25,"F46A8.4;F46A8.5"
"C3_Proteolysis general: inhibitor: serine",0.106297222230906,0.564192948764038,2,30,"K11D12.6;SRP-6"
"C1_Cell cycle",0.212436628238036,0.602077769591628,5,171,"GFI-3;HCP-3;F39C12.1;ZIM-2;H24K24.2"
"C1_DNA",0.225779163596861,0.602077769591628,5,175,"HPR-17;C25F9.2;R03H10.6;R03H10.7;MUT-7"
"C1_Transmembrane transport",0.245168031843062,0.603490539921383,19,857,"HAF-6;MRP-7;AAT-7;BEST-11;BEST-5;H39E23.3;F31D5.1;Y43D4A.4;Y52E8A.6;C17F4.8;TWK-36;ZC239.4;EGAS-1;K09C4.2;NCX-8;NSTP-9;SLC-28.1;VGLU-2;Y57G11C.23"
"C3_Signaling: S/T kinase",0.123926878175772,0.641321594559622,3,66,"AC3.12;F59E12.15;Y60A3A.16"
"C3_Non-coding RNA: tRNA: production",0.128052770588353,0.6444421684292,3,67,"R03D7.2;Y105E8A.20;YARS-1"
"C3_Transmembrane protein: seven transmembrane receptor: srsx",0.130756382000128,0.6444421684292,2,34,"SRSX-37;SRSX-39"
"C3_DNA: replication",0.136448007973048,0.656854363963278,3,69,"C25F9.2;R03H10.6;R03H10.7"
"C3_Signaling: other",0.145025530866784,0.682279202032371,3,71,"F16B12.7;T24H7.3;VY10G11R.1"
"C1_Metabolism",0.299891784683078,0.684535326315077,32,1557,"CTH-1;CYSL-4;F59A7.7;F32B5.1;GPX-4;NPA-1;ACS-15;POD-2;ACL-7;OAC-25;OAC-38;OAC-43;OAC-54;CKB-3;MBOA-6;SCRM-7;Y53G8B.2;ZK856.5;F02C12.2;STDH-2;W03F9.9;Y7A5A.1;T26E3.7;Y50E8A.6;MPPA-1;TOMM-22;MOCS-1;C29F7.3;ZK563.7;ACDH-4;C01B10.9;Y49E10.4"
"C1_Trafficking",0.320875934210192,0.684535326315077,5,202,"TAG-138;COPB-1;E03H4.8;GCC-1;VPS-28"
"C3_Transmembrane transport: solute carrier",0.153188561715971,0.704667383893468,6,194,"K09C4.2;NCX-8;NSTP-9;SLC-28.1;VGLU-2;Y57G11C.23"
"C2_Metabolism: 1CC",0.106297222230906,0.717506250058613,2,30,"CTH-1;CYSL-4"
"C2_Cell cycle: chromosome dynamics",0.119850597077247,0.727396893640403,3,65,"HCP-3;F39C12.1;ZIM-2"
"C2_Proteolysis general: inhibitor",0.123926878175772,0.727396893640403,3,66,"SCL-27;K11D12.6;SRP-6"
"C2_Signaling: S/T kinase",0.123926878175772,0.727396893640403,3,66,"AC3.12;F59E12.15;Y60A3A.16"
"C1_Signaling",0.36582677102175,0.731653542043501,24,1190,"ARRD-19;ARRD-3;RGS-9;IPLA-6;Y37D8A.2;F16B12.7;T24H7.3;VY10G11R.1;T22D1.5;C48B6.4;EGG-5;MOA-1;R10F2.6;Y54F10BM.3;Y62F5A.10;Y80D3A.8;ROM-3;AC3.12;F59E12.15;Y60A3A.16;FRL-1;F23C8.7;KIN-30;Y116A8C.38"
"C3_Signaling: Y kinase",0.162684356071581,0.732079602322115,3,75,"F23C8.7;KIN-30;Y116A8C.38"
"C3_Cytoskeleton: other",0.167196199602984,0.736374751442931,3,76,"AFD-1;T08D2.8;TTN-1"
"C2_Nucleic acid: binding",0.131059184962642,0.736819243054459,7,227,"EGRH-2;F35C5.3;F59B2.14;C10A4.1;LIN-38;PLP-2;Y25C1A.8"
"C2_DNA: replication",0.136448007973048,0.736819243054459,3,69,"C25F9.2;R03H10.6;R03H10.7"
"C2_Signaling: other",0.145025530866784,0.75301717950061,3,71,"F16B12.7;T24H7.3;VY10G11R.1"
"C2_Transmembrane transport: solute carrier",0.153188561715971,0.765942808579856,6,194,"K09C4.2;NCX-8;NSTP-9;SLC-28.1;VGLU-2;Y57G11C.23"
"C2_Signaling: Y kinase",0.162684356071581,0.777907460073304,3,75,"F23C8.7;KIN-30;Y116A8C.38"
"C2_Cytoskeleton: other",0.167196199602984,0.777907460073304,3,76,"AFD-1;T08D2.8;TTN-1"
"C2_Transcription: chromatin modification",0.172868324460734,0.777907460073304,4,117,"C29F9.5;CBP-2;F43G6.17;HDA-5"
"C1_Nuclear pore",0.49029559954505,0.851050790187044,1,36,"Y69A2AR.16"
"C1_Lysosome",0.499079701264934,0.851050790187044,2,90,"PHO-10;VHA-11"
"C1_Transcription: general machinery",0.505311406673557,0.851050790187044,3,145,"ELC-2;TAF-1;F53H4.6"
"C3_Proteolysis proteasome: E3: other",0.230249415212882,0.90792200682852,2,49,"UBC-21;Y54E10A.11"
"C3_Stress response: other",0.230249415212882,0.90792200682852,2,49,"POML-2;W01B11.6"
"C3_Nucleic acid: binding: zinc finger",0.237854416480337,0.90792200682852,4,134,"C10A4.1;LIN-38;PLP-2;Y25C1A.8"
"C3_Transmembrane transport: ABC",0.243984671826803,0.90792200682852,2,51,"HAF-6;MRP-7"
"C3_Nucleic acid: binding: other",0.248385903805762,0.90792200682852,3,93,"EGRH-2;F35C5.3;F59B2.14"
"C3_Stress response: GST",0.250865145799766,0.90792200682852,2,52,"GST-17;GST-18"
"C3_Stress response: pathogen: other",0.258338424243459,0.90792200682852,3,95,"F11D11.3;HPO-33;Y43C5A.3"
"C3_Cell cycle: APC",0.258779702429385,0.90792200682852,1,16,"GFI-3"
"C3_Proteolysis general: carboxypeptidase",0.258779702429385,0.90792200682852,1,16,"Y32F6A.5"
"C3_Stress response: heavy metal",0.258779702429385,0.90792200682852,1,16,"PALS-33"
"C3_Transmembrane protein: seven transmembrane receptor:  dmsr",0.258779702429385,0.90792200682852,1,16,"DMSR-3"
"C3_Transmembrane protein: seven transmembrane receptor: srxa",0.258779702429385,0.90792200682852,1,16,"SRXA-19"
"C2_Trafficking: ER/Golgi",0.21409018922413,0.932328243395404,3,86,"COPB-1;E03H4.8;GCC-1"
"C2_Stress response: other",0.230249415212882,0.944196211566675,2,49,"POML-2;W01B11.6"
"C2_Transmembrane transport: ABC",0.243984671826803,0.944196211566675,2,51,"HAF-6;MRP-7"
"C2_Stress response: GST",0.250865145799766,0.944196211566675,2,52,"GST-17;GST-18"
"C2_Cell cycle: APC",0.258779702429385,0.944196211566675,1,16,"GFI-3"
"C2_Proteolysis general: carboxypeptidase",0.258779702429385,0.944196211566675,1,16,"Y32F6A.5"
"C2_Stress response: heavy metal",0.258779702429385,0.944196211566675,1,16,"PALS-33"
"C1_Transcription: chromatin",0.591274273981298,0.946038838370076,4,222,"C29F9.5;CBP-2;F43G6.17;HDA-5"
"C3_Metabolism: mitochondria: translocase",0.286017503923928,0.98676038853755,1,18,"TOMM-22"
"C1_Cilia",0.67485945791755,1,1,60,"MKS-1"
"C1_Chaperone",0.800271881823859,1,1,86,"TOR-1"
"C1_Protein modification",0.872569363959896,1,3,266,"C18G1.8;SIR-2.3;SET-8"
"C1_mRNA functions",0.921400256524274,1,4,378,"Y55F3BR.1;F35A5.1;CPSF-1;Y48G1BL.8"
"C1_Neuronal function",0.978879142204608,1,2,308,"ODR-2;NPR-31"
"C1_Ribosome",0.989724330784713,1,1,244,"Y82E9BR.18"
"C1_Globin",1,1,0,36,""
"C1_Major sperm protein",1,1,0,31,""
"C1_Muscle function",1,1,0,62,""
"C1_Non-coding RNA",1,1,9,9512,"LINC-157;MIR-4923.2;C53C7.6;D1065.7;Y51H4A.940;SLS-1.1;R03D7.2;Y105E8A.20;YARS-1"
"C1_Peroxisome",1,1,0,15,""
"C1_Pseudogene",1,1,0,1898,""
"C2_Metabolism: glutathione",0.312255500765224,1,1,20,"GPX-4"
"C2_Lysosome: Vacuolar ATPase",0.337530351566984,1,1,22,"VHA-11"
"C2_Proteolysis proteasome: other",0.34981768454078,1,1,23,"T28B8.3"
"C2_Cytoskeleton: innexin",0.361877372319783,1,1,24,"INX-16"
"C2_Cell cycle: other",0.38533058550999,1,1,26,"H24K24.2"
"C2_Proteolysis proteasome: 19S",0.38533058550999,1,1,26,"F56F11.4"
"C2_Transmembrane transport: potassium channel",0.389534522987402,1,3,121,"C17F4.8;TWK-36;ZC239.4"
"C2_Extracellular Material: chondroitin sulfotransferase",0.39673230428543,1,1,27,"C31B8.9"
"C2_Transcription: general machinery: RNA Pol II",0.404491996771859,1,3,124,"ELC-2;TAF-1;F53H4.6"
"C2_Stress response: oxidative",0.407922767443711,1,1,28,"CST-2"
"C2_Trafficking: endocytosis",0.418905884787591,1,1,29,"TAG-138"
"C2_Signaling: WNT",0.42968549384127,1,1,30,"FRL-1"
"C2_Lysosome: acid phosphatase",0.440265361185048,1,1,31,"PHO-10"
"C2_Proteolysis proteasome: ubiquitin peptidase",0.440265361185048,1,1,31,"Y67D2.2"
"C2_Transmembrane transport: sodium channel",0.450649183765373,1,1,32,"EGAS-1"
"C2_Proteolysis general: serine",0.470843141943773,1,1,34,"LIDO-17"
"C2_Transcription factor: bHLH",0.49029559954505,1,1,36,"HLH-31"
"C2_Transmembrane transport: amino acid",0.499752304015679,1,1,37,"AAT-7"
"C2_Cytoskeleton: actin function",0.527083804170958,1,1,40,"C31C9.6"
"C2_Cytoskeleton: motor protein",0.535858715008713,1,1,41,"DLC-4"
"C2_Transcription factor: homeodomain",0.539121218200662,1,2,97,"CEH-86;CEH-89"
"C2_Neuronal function: other",0.544470992177748,1,1,42,"ODR-2"
"C2_Extracellular material: secreted protein",0.552923646512339,1,1,43,"SCL-8"
"C2_Signaling: lipid",0.560987566561558,1,2,101,"IPLA-6;Y37D8A.2"
"C2_Metabolism: nucleotide",0.597439309951586,1,2,108,"C29F7.3;ZK563.7"
"C2_Signaling: heteromeric G protein",0.616597449213413,1,3,171,"ARRD-19;ARRD-3;RGS-9"
"C2_Transcription factor: ZF",0.629294800449819,1,1,53,"NHR-291"
"C2_Metabolism: other",0.683026183910621,1,3,189,"ACDH-4;C01B10.9;Y49E10.4"
"C2_Trafficking: vesicle targeting/fusion",0.703938526687962,1,1,65,"VPS-28"
"C2_Extracellular material: matrix",0.709434850478434,1,1,66,"DGN-3"
"C2_DNA: repair",0.714829251327311,1,1,67,"HPR-17"
"C2_Proteolysis general: other",0.720123617140043,1,1,68,"ZK430.5"
"C2_mRNA functions: processing",0.736570992482295,1,4,269,"Y55F3BR.1;F35A5.1;CPSF-1;Y48G1BL.8"
"C2_Protein modification: methyltransferase",0.754534605807105,1,1,75,"SET-8"
"C2_Metabolism: amino acid",0.784719005028009,1,1,82,"F59A7.7"
"C2_Extracellular material: collagen",0.859538180122278,1,2,185,"COL-135;COL-62"
"C2_Metabolism: mitochondria",0.862371338209641,1,4,330,"T26E3.7;Y50E8A.6;MPPA-1;TOMM-22"
"C2_Protein modification: carbohydrate",0.905676537927488,1,1,126,"C18G1.8"
"C2_Non-coding RNA: snRNA",0.910839616347121,1,1,129,"SLS-1.1"
"C2_Transmembrane protein: other",0.923269661171828,1,3,305,"ABU-4;ABU-7;F53C3.6"
"C2_Non-coding RNA: linc",0.961694186810998,1,1,174,"LINC-157"
"C2_Neuronal function: synaptic function",0.989724330784713,1,1,244,"NPR-31"
"C2_Non-coding RNA: miRNA",0.991953861582029,1,1,257,"MIR-4923.2"
"C2_Non-coding RNA: snoRNA",0.9984370594296,1,1,344,"Y51H4A.940"
"C2_Non-coding RNA: tRNA",0.99976496043781,1,3,688,"R03D7.2;Y105E8A.20;YARS-1"
"C2_Cell cycle: kinase",1,1,0,23,""
"C2_Cell cycle: meiotic/mitotic spindle",1,1,0,23,""
"C2_Chaperone: cyclophilin",1,1,0,28,""
"C2_Chaperone: DnaJ domain",1,1,0,31,""
"C2_Cilia: IFT",1,1,0,38,""
"C2_Cytoskeleton: claudin",1,1,0,15,""
"C2_Development: germline",1,1,0,20,""
"C2_Development: somatic",1,1,0,122,""
"C2_DNA: nuclease",1,1,0,17,""
"C2_Extracellular material: cuticlin",1,1,0,35,""
"C2_Globin",1,1,0,36,""
"C2_Lysosome: autophagy",1,1,0,25,""
"C2_Major sperm protein",1,1,0,31,""
"C2_Metabolism: carbohydrate",1,1,0,83,""
"C2_Metabolism: glycolysis",1,1,0,37,""
"C2_Metabolism: insulin",1,1,0,40,""
"C2_Metabolism: short chain dehydrogenase",1,1,0,42,""
"C2_mRNA functions: binding",1,1,0,101,""
"C2_Muscle function",1,1,0,62,""
"C2_Neuronal function: development",1,1,0,15,""
"C2_Non-coding RNA: asRNA",1,1,0,16,""
"C2_Non-coding RNA: ncRNA",1,1,2,7850,"C53C7.6;D1065.7"
"C2_Non-coding RNA: small RNA",1,1,0,51,""
"C2_Nuclear pore: structure",1,1,0,28,""
"C2_Protein modification: acetyltransferase",1,1,0,17,""
"C2_Protein modification: lipidation",1,1,0,17,""
"C2_Proteolysis general: aspartate",1,1,0,33,""
"C2_Proteolysis proteasome: E2",1,1,0,17,""
"C2_Pseudogene",1,1,0,1898,""
"C2_Ribosome: biogenesis",1,1,0,53,""
"C2_Ribosome: EIF",1,1,0,60,""
"C2_Ribosome: subunit",1,1,0,92,""
"C2_Signaling: calcium",1,1,0,34,""
"C2_Signaling: hedgehog-like",1,1,0,90,""
"C2_Signaling: MAPK",1,1,0,32,""
"C2_Signaling: Notch",1,1,0,18,""
"C2_Signaling: small GTPase",1,1,0,183,""
"C2_Signaling: TGF beta",1,1,0,17,""
"C2_Stress response: ER",1,1,0,17,""
"C2_Stress response: heat",1,1,0,30,""
"C2_Stress response: thioredoxin",1,1,0,15,""
"C2_Transcription factor: bZIP",1,1,0,24,""
"C2_Transcription factor: other",1,1,0,33,""
"C2_Transcription factor: T box",1,1,0,21,""
"C2_Transcription: chromatin structure",1,1,0,105,""
"C2_Transmembrane protein: ER",1,1,0,24,""
"C2_Transmembrane transport: calcium channel",1,1,0,20,""
"C2_Transmembrane transport: extracellular ligand gated channel",1,1,0,59,""
"C2_Transmembrane transport: lipid",1,1,0,15,""
"C2_Transmembrane transport: mitochondrial",1,1,0,34,""
"C2_Transmembrane transport: nicotinic acid receptor",1,1,0,20,""
"C2_Transmembrane transport: other",1,1,0,50,""
"C2_Transmembrane transport: TRP  channel",1,1,0,15,""
"C3_Signaling: lipid: phospholipase A",0.299259154706967,1,1,19,"IPLA-6"
"C3_Metabolism: glutathione",0.312255500765224,1,1,20,"GPX-4"
"C3_Metabolism: mitochondria: complex V",0.312255500765224,1,1,20,"T26E3.7"
"C3_Cytoskeleton: actin function: binding",0.325011081288446,1,1,21,"C31C9.6"
"C3_mRNA functions: processing: polyadenylation",0.325011081288446,1,1,21,"CPSF-1"
"C3_Trafficking: ER/Golgi: Golgi other",0.325011081288446,1,1,21,"GCC-1"
"C3_Cytoskeleton: motor protein: dynein",0.337530351566984,1,1,22,"DLC-4"
"C3_Lysosome: Vacuolar ATPase",0.337530351566984,1,1,22,"VHA-11"
"C3_Signaling: heteromeric G protein: other",0.337530351566984,1,1,22,"RGS-9"
"C3_Proteolysis proteasome: other",0.34981768454078,1,1,23,"T28B8.3"
"C3_Metabolism: lipid: fatty acid",0.360106741874238,1,2,68,"ACS-15;POD-2"
"C3_Proteolysis proteasome: E3: RING finger",0.360106741874238,1,2,68,"PAR-2;Y45F10B.8"
"C3_Cytoskeleton: innexin",0.361877372319783,1,1,24,"INX-16"
"C3_Transcription: general machinery: RNA Pol II: TFIID",0.361877372319783,1,1,24,"TAF-1"
"C3_Unknown: prion domain",0.373432194467703,1,2,70,"PQN-39;PQN-78"
"C3_Cell cycle: other",0.38533058550999,1,1,26,"H24K24.2"
"C3_Proteolysis proteasome: 19S",0.38533058550999,1,1,26,"F56F11.4"
"C3_Transmembrane transport: potassium channel",0.389534522987402,1,3,121,"C17F4.8;TWK-36;ZC239.4"
"C3_Extracellular Material: chondroitin sulfotransferase",0.39673230428543,1,1,27,"C31B8.9"
"C3_Metabolism: lipid: glycerolipid ",0.39673230428543,1,1,27,"ACL-7"
"C3_Stress response: oxidative",0.407922767443711,1,1,28,"CST-2"
"C3_Proteolysis proteasome: E3: SCF",0.42968549384127,1,1,30,"SKR-6"
"C3_Signaling: WNT",0.42968549384127,1,1,30,"FRL-1"
"C3_Transcription: general machinery: RNA Pol II: elongation",0.42968549384127,1,1,30,"ELC-2"
"C3_Lysosome: acid phosphatase",0.440265361185048,1,1,31,"PHO-10"
"C3_Proteolysis proteasome: ubiquitin peptidase",0.440265361185048,1,1,31,"Y67D2.2"
"C3_Transmembrane transport: sodium channel",0.450649183765373,1,1,32,"EGAS-1"
"C3_Proteolysis general: serine",0.470843141943773,1,1,34,"LIDO-17"
"C3_Transcription factor: bHLH",0.49029559954505,1,1,36,"HLH-31"
"C3_Transmembrane transport: amino acid",0.499752304015679,1,1,37,"AAT-7"
"C3_mRNA functions: processing: snRNP",0.509033753463986,1,1,38,"Y48G1BL.8"
"C3_Metabolism: amino acid: synthesis",0.518143192106052,1,1,39,"F59A7.7"
"C3_Transcription factor: homeodomain",0.539121218200662,1,2,97,"CEH-86;CEH-89"
"C3_Neuronal function: other",0.544470992177748,1,1,42,"ODR-2"
"C3_Extracellular material: secreted protein",0.552923646512339,1,1,43,"SCL-8"
"C3_Metabolism: lipid: sphingolipid",0.552923646512339,1,1,43,"ZK856.5"
"C3_mRNA functions: processing: helicase",0.585196324981004,1,1,47,"Y55F3BR.1"
"C3_Metabolism: nucleotide",0.597439309951586,1,2,108,"C29F7.3;ZK563.7"
"C3_Transmembrane protein: seven transmembrane receptor: sre",0.607864260735297,1,1,50,"SRE-26"
"C3_Transcription factor: ZF",0.629294800449819,1,1,53,"NHR-291"
"C3_Metabolism: mitochondria: other",0.649555417473583,1,1,56,"Y50E8A.6"
"C3_Metabolism: other",0.683026183910621,1,3,189,"ACDH-4;C01B10.9;Y49E10.4"
"C3_Extracellular material: matrix",0.709434850478434,1,1,66,"DGN-3"
"C3_Transmembrane protein: seven transmembrane receptor: srd",0.709434850478434,1,1,66,"SRD-27"
"C3_DNA: repair",0.714829251327311,1,1,67,"HPR-17"
"C3_Metabolism: lipid: binding",0.714829251327311,1,1,67,"NPA-1"
"C3_Proteolysis general: other",0.720123617140043,1,1,68,"ZK430.5"
"C3_Stress response: detoxification: ugt",0.725319800892239,1,1,69,"UGT-14"
"C3_Protein modification: methyltransferase",0.754534605807105,1,1,75,"SET-8"
"C3_Signaling: phosphatase: other",0.840513877440808,1,1,98,"T22D1.5"
"C3_Extracellular material: collagen",0.859538180122278,1,2,185,"COL-135;COL-62"
"C3_Protein modification: carbohydrate",0.905676537927488,1,1,126,"C18G1.8"
"C3_Non-coding RNA: snRNA",0.910839616347121,1,1,129,"SLS-1.1"
"C3_Transmembrane protein: other",0.923269661171828,1,3,305,"ABU-4;ABU-7;F53C3.6"
"C3_Neuronal function: synaptic function: neuropeptide",0.926096023380088,1,1,139,"NPR-31"
"C3_Non-coding RNA: linc",0.961694186810998,1,1,174,"LINC-157"
"C3_Non-coding RNA: miRNA",0.991953861582029,1,1,257,"MIR-4923.2"
"C3_Non-coding RNA: snoRNA",0.9984370594296,1,1,344,"Y51H4A.940"
"C3_Cell cycle: kinase",1,1,0,23,""
"C3_Cell cycle: meiotic/mitotic spindle",1,1,0,23,""
"C3_Chaperone: cyclophilin",1,1,0,28,""
"C3_Chaperone: DnaJ domain",1,1,0,31,""
"C3_Cytoskeleton: actin function: actin",1,1,0,19,""
"C3_Cytoskeleton: claudin",1,1,0,15,""
"C3_Cytoskeleton: microtubule: tubulin",1,1,0,17,""
"C3_Cytoskeleton: microtubule: tubulin modification",1,1,0,16,""
"C3_Cytoskeleton: motor protein: kinesin",1,1,0,16,""
"C3_Development: germline",1,1,0,20,""
"C3_Development: somatic",1,1,0,122,""
"C3_DNA: nuclease",1,1,0,17,""
"C3_Extracellular material: cuticlin",1,1,0,35,""
"C3_Globin",1,1,0,36,""
"C3_Lysosome: autophagy",1,1,0,25,""
"C3_Major sperm protein",1,1,0,31,""
"C3_Metabolism: amino acid: breakdown",1,1,0,36,""
"C3_Metabolism: carbohydrate",1,1,0,83,""
"C3_Metabolism: glycolysis",1,1,0,37,""
"C3_Metabolism: insulin",1,1,0,40,""
"C3_Metabolism: lipid: beta oxidation",1,1,0,78,""
"C3_Metabolism: lipid: lipase",1,1,0,27,""
"C3_Metabolism: lipid: other",1,1,0,26,""
"C3_Metabolism: mitochondria: citric acid cycle",1,1,0,23,""
"C3_Metabolism: mitochondria: complex I",1,1,0,39,""
"C3_Metabolism: mitochondria: gene expression",1,1,0,15,""
"C3_Metabolism: mitochondria: ribosome",1,1,0,77,""
"C3_Metabolism: short chain dehydrogenase",1,1,0,42,""
"C3_mRNA functions: binding: KH",1,1,0,15,""
"C3_mRNA functions: binding: other",1,1,0,23,""
"C3_mRNA functions: binding: RBM",1,1,0,35,""
"C3_mRNA functions: binding: ZF",1,1,0,16,""
"C3_mRNA functions: processing: nuclease",1,1,0,31,""
"C3_mRNA functions: processing: splicing",1,1,0,54,""
"C3_Muscle function",1,1,0,62,""
"C3_Neuronal function: development",1,1,0,15,""
"C3_Neuronal function: synaptic function: neurotransmitter metabolism",1,1,0,19,""
"C3_Neuronal function: synaptic function: neurotransmitter receptor",1,1,0,37,""
"C3_Neuronal function: synaptic function: other",1,1,0,28,""
"C3_Neuronal function: synaptic function: vesicle trafficking",1,1,0,16,""
"C3_Non-coding RNA: asRNA",1,1,0,16,""
"C3_Non-coding RNA: ncRNA",1,1,2,7850,"C53C7.6;D1065.7"
"C3_Non-coding RNA: small RNA: argonaute",1,1,0,22,""
"C3_Non-coding RNA: small RNA: other",1,1,0,25,""
"C3_Non-coding RNA: tRNA",1,1,0,606,""
"C3_Non-coding RNA: tRNA: methylation",1,1,0,15,""
"C3_Nuclear pore: structure",1,1,0,28,""
"C3_Protein modification: acetyltransferase",1,1,0,17,""
"C3_Protein modification: lipidation",1,1,0,17,""
